Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2018;MER;Plougonvelin;SH1x;FB;1.0;33:19.73;Aviron Club de Lyon-Caluire;AVIRON CLUB DE LYON CALUIRE;;;;Rodolphe PFAIFER;;;;;;;;
2023;MER;Brest;SM2x 50%H/F;FA;14.0;33:19.74;Centre Nautique de Lorient;CENTRE NAUTIQUE DE LORIENT;;;;Tatiana DUIGOU;Herve PASQUET;;;;;;;
2022;LONGUE DISTANCE;Mâcon;U19H2x;FA;6.0;33:19.86;Sports Nautiques Tain-Tournon;SPORTS NAUTIQUES TAIN TOURNON;;;;Hugo CITRO;Lucas BRESCIANI;;;;;;;
2023;LONGUE DISTANCE;Mâcon;U19F4-;FA;5.0;33:19.89;Societe des Regates Maconnaises;SOCIETE DES REGATES MACONNAISES;;;;Fantine PALLOT;Romane JACQUIER;Lise CHAPARD;Charlotte LOGEROT;;;;;
2019;MER;Dieppe;SF1x;FA;6.0;33:19.96;Club d'Aviron de Mer de la Rochelle;CLUB D'AVIRON DE MER DE LA ROCHELLE;;;;Celine LAVALLE;;;;;;;;
2025;MER;Aix-Les Bains;M40F4x+;FA;14.0;33:20.23;Aviron Club du Robert;AVIRON CLUB DU ROBERT;;;;Marilyne MARTOT;Valery VEILLEUR;Dominique EUTIONNAT;Nickita JACOBY  KOALY;;;;;Gaspard HAMEL
2025;MER;Aix-Les Bains;SF1x;FA;9.0;33:20.48;Aviron Club Biterrois;AVIRON CLUB BITERROIS;;;;Lisa VAN COTTHEM;;;;;;;;
2018;MER;Plougonvelin;SF4x+;FA;8.0;33:20.55;Cercle de l'Aviron de Marseille;CERCLE DE L'AVIRON DE MARSEILLE;;;;Amandine BRIAND;Elisa MAURIN;Anais POLIZZI;Gisele BALDASSERONI;;;;;Celine EGLY
2025;MER;Aix-Les Bains;SF4x+;FA;15.0;33:20.76;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Solange AUSSEURS;Lilou JANAS;Aurelie GILLOT;Aude COMBES;;;;;Fabien DIOT
2021;MER;Port-Camargue (Grau du Roi);SH1x;FA;1.0;33:21.35;Aviron Meulan-les-Mureaux-Hardricourt;AVIRON MEULAN LES MUREAUX HARDRICOURT;;;;Ivan BOVE;;;;;;;;
2025;LONGUE DISTANCE;Mâcon;U19H2x;FB;10.0;33:21.50;Aviron Decinois;AVIRON DECINOIS;;;;Aristide SOUKEUR;Timéo TIXIER;;;;;;;
2025;LONGUE DISTANCE;Mâcon;MCH4x;FC;15.0;33:21.65;Chablais Aviron Thonon;CHABLAIS AVIRON THONON;;;;Michel VERNAZ;Michel DUCRET;Landry BOUSQUET;Olivier BEAL;;;;;
2023;LONGUE DISTANCE;Mâcon;MCF4x;FA;2.0;33:21.69;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Delphine DUTAU-BUHLER;Karola RITTNER;Emilie WEYGAND;Claire L'HOSPITALIER-GASTAUD;;;;;
2025;LONGUE DISTANCE;Mâcon;MCF8+;FA;1.0;33:21.76;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Marit NAUMANN;Helene JEGOU;Maria HAGL;Renata GIBSON;Gabrielle BOULANGER;Marie Laure BARON;Anja BAILLOT;Sylvie ALIBEU;Lise VAUZELLE
2015;MER;Rivedoux - île de Ré - La Rochelle;SH2x;FA;17.0;33:21.98;Club des Sports Annecy le Vieux;CLUB DES SPORTS ANNECY LE VIEUX;;;;Bastien TEYSSOT;Yoann GENOLINI;;;;;;;
2018;MER;Plougonvelin;SF1x;FA;1.0;33:22.02;Endaika Arraun Elkartea;ENDAIKA ARRAUN ELKARTEA;;;;Jessica BERRA;;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MEH4-;FA;4.0;33:22.10;Martigues Aviron Club;MARTIGUES AVIRON CLUB;;;;Jean-Pierre FOUCAULT;Stephane DEKEYSER;Andre DUVIVIER;Franck SCHMID;;;;;
2015;MER;Rivedoux - île de Ré - La Rochelle;SF4x/+;FA;2.0;33:22.25;Aviron Club de Cassis;AVIRON CLUB DE CASSIS;;;;Celine BAILLON;Sylvie THUAULT;Emma DENJEAN;Julia FARGEOT;;;;;Alain MORETTO
2022;MER;Agde;SH1x;FA;15.0;33:22.29;Cherbourg Club Aviron de Mer;CHERBOURG CLUB AVIRON DE MER;;;;Fabien GERNAIS;;;;;;;;
2019;MER;Dieppe;SH2x;FB;14.0;33:22.30;Club Nautique des Salettes;CLUB NAUTIQUE DES SALETTES;;;;Philippe MACCIONI;Julien OMNES;;;;;;;
2014;MER;Arcachon;U19H2x;Finale;3.0;33:22.51;Aviron Club du Bassin de Thau;AVIRON CLUB DU BASSIN DE THAU;;;;Tanguy JEAN;Quentin JUGE;Kiffer TRON;Antonin BOUQUET;;;;;Maurice CAPDIVILA
2014;MER;Arcachon;U19H4+;FA;3.0;33:22.51;Aviron Club du Bassin de Thau;AVIRON CLUB DU BASSIN DE THAU;;;;Tanguy JEAN;Quentin JUGE;Kiffer TRON;Antonin BOUQUET;;;;;Maurice CAPDIVILA
2023;MER;Brest;M40M2x 50%H/F;FA;15.0;33:23.26;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Fabienne PECHE;Eric DUPONT;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MCH2x;FB;11.0;33:23.44;Club de l'Aviron de Vichy;CLUB DE L'AVIRON DE VICHY;;;;Pierre MORIN;Jacques CHABANET;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MEH2x;FA;4.0;33:23.44;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Kevin PARR;Matthieu LEFFTZ;;;;;;;
2023;MER;Brest;SH1x;FB;3.0;33:23.69;Aviron Brestois;AVIRON BRESTOIS;;;;Youenn SIMON;;;;;;;;
2017;MER;Marseille;SH4x+;FA;4.0;33:23.81;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Morgan DUGUEPEROUX;Romain DENIC;David COUDRON;Clement THOMAS;;;;;Loann CUVILLIER
2025;LONGUE DISTANCE;Mâcon;SF4x;FB;12.0;33:23.97;Aviron Villeneuvois;AVIRON VILLENEUVOIS;;;;Manon MASINI;Tiphaine WALLOIS;Lea WATSON;Alexia TEYSSEDRE;;;;;
2016;MER;Menton;SH1x;FB;10.0;33:24.04;Sports Nautiques Villefranchois;SPORTS NAUTIQUES VILLEFRANCHOIS;;;;Jean Pierre DEROBERT;;;;;;;;
2022;MER;Agde;SF1x;FA;3.0;33:24.17;Ur Yoko Aviron Trainiere-Ur Yoko Arraun Elkartea;UR YOKO AVIRON TRAINIERE UR YOKO ARRAUN ELKARTEA;;;;Veronique COUVREUR;;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MEM4x 50%H/F;FA;5.0;33:24.27;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Kevin PARR;Matthieu LEFFTZ;Karola RITTNER;Claire L'HOSPITALIER-GASTAUD;;;;;
2023;LONGUE DISTANCE;Mâcon;SH8+ FFSU;FA;5.0;33:24.31;CENTRALESUPELEC SPORT 3;CENTRALESUPELEC SPORT;;;;"YANN-SULLY	CHESNEL--BICEP";"BADOUIN	DE PARCEVAUX";"HUGO	HAKEM";"GEOFFROY	LHOSTE";"LUCA	PERNA";"JULIEN	SANTIAGO";"GABRIEL	SEIGNEUR";"RAPHAEL	RICHARD";"BENJAMIN	SAURAT"
2023;LONGUE DISTANCE;Mâcon;MCF4x;FA;3.0;33:24.38;Rowing Club de Port Marly;ROWING CLUB DE PORT MARLY;;;;Sophie MOREL;Valerie LUBERT;Celine COUVEZ;Svenja OBEGI;;;;;
2025;LONGUE DISTANCE;Mâcon;MEH8+;FB;9.0;33:24.52;Societe Nautique d'Avignon;SOCIETE NAUTIQUE D'AVIGNON;;;;Dominique ANDRE;Christian MARQUIS;Dominique VIAN;Jean-Philippe BREPSON;Jacques DUCRET;Regis BOURGES;Denis PASCAL;William FENTON;Cerise MARQUIS
2025;LONGUE DISTANCE;Mâcon;MEH2x;FB;12.0;33:24.55;Aviron Club Orleans-Olivet;AVIRON CLUB ORLEANS OLIVET;;;;Vincent LESUR;Philippe TRICHET;;;;;;;
2024;MER;Dunkerque;SH1x;FA;7.0;33:24.78;Club LEO Lagrange Armentieres;CLUB LEO LAGRANGE ARMENTIERES;;;;Gillen LURO;;;;;;;;
2024;MER;Dunkerque;SM2x 50%H/F;FA;16.0;33:25.00;Base Nautique des Mascareignes;BASE NAUTIQUE DES MASCAREIGNES;;;;Clementine BOSQUET;Marc PUECH;;;;;;;
2015;MER;Rivedoux - île de Ré - La Rochelle;U19F4x/+;FA;1.0;33:26.01;Rowing Club Marseille;ROWING CLUB MARSEILLE;;;;Lola MARTO;Marianne GILLES;Camille MARION-VERNOUX;Mathilde LEGRAS;;;;;Stella ESPOSITO MORI
2022;LONGUE DISTANCE;Mâcon;U19H2x;FB;7.0;33:27.18;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Titouan JESSON;Malo RICHARD;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MEH4-;FA;5.0;33:27.22;Cercle Nautique de Versailles;CERCLE NAUTIQUE DE VERSAILLES;;;;Stephane MOURET;Paul HAGIARIAN;Arnaud MALISZEWSKI;Christophe PLEE;;;;;
2022;LONGUE DISTANCE;Mâcon;U19F8+;FB;7.0;33:27.54;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Ilona RASPADO;Jade SASSOU;Eva ROUSSEAU NOIRAY;Emma MONCHANIN-BARIS;Anais MICHEL;Vanille VACHERESSE;Heloise GOUTTENOIRE;Maelys ANNINO EUZEN;Alexandra BOISTARD
2025;LONGUE DISTANCE;Mâcon;U19F4x;FA;6.0;33:27.59;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Romane SANANES;Mathilde FISCHER;Laura FRANCKNEUMANN;Julie BOULANGER  -MOOSBRUGGER;;;;;
2022;LONGUE DISTANCE;Mâcon;SF8+;FB;7.0;33:27.62;Gravelines Aviron;GRAVELINES AVIRON;;;;Lena BECHIKR;Angele GEORGE;Victoire SIBILLE;Rosa Marie BOUYER;Katharine NOWAKOWSKI;Oceane PORQUET;Orlane PORQUET;Alizée SENGIER;Aline VANHEMELRYCK
2023;LONGUE DISTANCE;Mâcon;U19F8+;FB;7.0;33:28.27;Societe Nautique de Bayonne;SOCIETE NAUTIQUE DE BAYONNE;;;;Amelia MILLAN;Clarisse GOYENECHE GOBERT;Maewenn SOURIMANT;Suzie LEMAITRE;Donia RENARD;Oihana TOME-BELMONTE;Jeanne MARCHE;Lea ETCHEBARNE;Luna CERE
2022;MER;Agde;SH1x;FA;16.0;33:28.27;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Benoit MERCIER;;;;;;;;
2022;MER;Agde;SH1x;FA;17.0;33:28.69;Base Nautique de l'Ouest;BASE NAUTIQUE DE L'OUEST;;;;Didier VILLEPOU;;;;;;;;
2019;MER;Dieppe;SH1x;FA;15.0;33:28.73;Societe Nautique de Monaco;SOCIETE NAUTIQUE DE MONACO;;;;Benjamin ROUYER;;;;;;;;
2022;LONGUE DISTANCE;Mâcon;SF4x;FA;2.0;33:28.78;Aviron Majolan;AVIRON MAJOLAN;;;;Julia RICHARD;Albane THOMAS;Clarisse PLASKOWSKI;Julia CONSTANZA;;;;;
2015;MER;Rivedoux - île de Ré - La Rochelle;SF4x/+;FA;3.0;33:28.93;Chablais Aviron Thonon;CHABLAIS AVIRON THONON;;;;Fanny MOSSIERE;Elisa JAUSSEIN;Marie MINGER;Marie GUINGOUAIN;;;;;Pauline DEMOUSTIER
2025;MER;Aix-Les Bains;U19M4x+ 50%H/F;FA;13.0;33:29.05;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Gaetan TRINCAZ;Mathis MARADEI;Ella INGIGNOUX VUILLERMOZ;Zoe AURAN;;;;;Lilou JANAS
2014;MER;Arcachon;U19F2x;Finale;1.0;33:29.06;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Mathilde RENAUD;Julia PELLEGRINI;Romain RAVERA;Julien NALLBANI BARBARAS;;;;;Ambre BICHARD
2014;MER;Arcachon;MC4+;FA;1.0;33:29.06;Club Nautique de Nice;CLUB NAUTIQUE DE NICE;;;;Mathilde RENAUD;Julia PELLEGRINI;Romain RAVERA;Julien NALLBANI BARBARAS;;;;;Ambre BICHARD
2015;MER;Rivedoux - île de Ré - La Rochelle;SH4x/+;FB;14.0;33:29.29;Aviron Toulonnais;AVIRON TOULONNAIS;;;;Fabrice SAINT VANNE;Fabien BONOMI;Gil BORGOGNO;Tony PEREZ;;;;;Jean-Charles SADOUX
2025;LONGUE DISTANCE;Mâcon;MEH2x;FC;13.0;33:29.42;Societe Nautique de Chatellerault;SOCIETE NAUTIQUE DE CHATELLERAULT;;;;Christian DRUET;Laurent LAMURS;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x 50%H/F;FA;4.0;33:29.43;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Juliette HOURDIN;Clement THOMAS;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3 1H/1F;Finale;4.0;33:29.43;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Juliette HOURDIN;Clement THOMAS;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3-ID BC 1H/1F;Finale;4.0;33:29.43;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Juliette HOURDIN;Clement THOMAS;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3-ID CD 1H/1F;Finale;4.0;33:29.43;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Juliette HOURDIN;Clement THOMAS;;;;;;;
2023;MER;Brest;M40F1x;Finale;2.0;33:29.45;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Aurore COMBES;;;;;;;;
2023;MER;Brest;SF1x;FA;2.0;33:29.45;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Aurore COMBES;;;;;;;;
2013;MER;Thonon les Bains;SH4+;FA;10.0;33:29.50;Cherbourg Club Aviron de Mer;CHERBOURG CLUB AVIRON DE MER;;;;David LETERRIER;Frederic GEFFRAY;Jerome HAMELIN;Fabien GERNAIS;;;;;Thibaut THOMAZO
2022;LONGUE DISTANCE;Mâcon;U19F8+;FB;8.0;33:29.70;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Lise ROUSSEAU;Lorna CIVRAY;Elisa DONDAINE;Capucine ROUSSEL;Romane BALDERANI;Cassandra MANQUAT;Coralie DETRE;Madisson GONZALEZ;Aurelien MANQUAT
2019;MER;Dieppe;U19H4x+;FA;17.0;33:30.28;Club Nautique Dieppois;CLUB NAUTIQUE DIEPPOIS;;;;Victorien BENOIT;Matheo CLET FEURAY;Christian HUGUET;Stephano DESJARDINS;;;;;Robin DEHAIES
2015;MER;Rivedoux - île de Ré - La Rochelle;SH2x;FA;18.0;33:30.46;Cercle Nautique d'Indre;CERCLE NAUTIQUE D'INDRE;;;;Franck LAUTREDOU;Olivier COTTINEAU;;;;;;;
2019;MER;Dieppe;SF1x;FA;7.0;33:30.47;Aviron de Mer de Plougonvelin;AVIRON DE MER DE PLOUGONVELIN;;;;Florence SAMYN;;;;;;;;
2022;LONGUE DISTANCE;Mâcon;U19F4x;FA;1.0;33:30.53;Aviron Strasbourg 1881;AVIRON STRASBOURG 1881;;;;Charlotte SARY;Camille NAIDJI;Adelie NAIDJI;Betty KREBS;;;;;
2024;MER;Dunkerque;SH1x;FA;8.0;33:30.57;Cherbourg Club Aviron de Mer;CHERBOURG CLUB AVIRON DE MER;;;;Fabien GERNAIS;;;;;;;;
2025;LONGUE DISTANCE;Mâcon;MCM4x 50%H/F;FB;12.0;33:30.87;Cercle des Rameurs Mansonniens et Mesnilois;CERCLE DES RAMEURS MANSONNIENS ET MESNILOIS;;;;Guillaume BIRON;Gloria VENDRELL;Nicolas SCHMITT;Carole MALHERBE;;;;;
2025;LONGUE DISTANCE;Mâcon;MEH2x;FC;14.0;33:30.88;Cercle Nautique de France;CERCLE NAUTIQUE DE FRANCE;;;;Franck FENARD;Eric GROSCLAUDE;;;;;;;
2025;LONGUE DISTANCE;Mâcon;MEH4x;FB;9.0;33:31.03;Societe Nautique de Chatellerault;SOCIETE NAUTIQUE DE CHATELLERAULT;;;;Vincent DEFRANCE;Laurent BESNAULT;Christian DRUET;Laurent LAMURS;;;;;
2022;LONGUE DISTANCE;Mâcon;MCH4x;FB;11.0;33:31.06;Club Nautique de Nogent;CLUB NAUTIQUE DE NOGENT;;;;Benoit BACON;Nicolas BURCKHART;Olivier PASCAL;Frederic LARDON;;;;;
2023;LONGUE DISTANCE;Mâcon;MEM4x 50%H/F;FA;6.0;33:31.11;Club Nautique de Libourne 1876;CLUB NAUTIQUE DE LIBOURNE;;;;Evelyne PERIN;Jeanfrancois MEYNARD;Christine COMBRIEUX;Nicolas LOURDAUX;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x 50%H/F;FA;5.0;33:31.24;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Vincent CAVARD;Anne-Elise COMMUNAL;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3 1H/1F;Finale;5.0;33:31.24;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Vincent CAVARD;Anne-Elise COMMUNAL;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3-ID BC 1H/1F;Finale;5.0;33:31.24;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Vincent CAVARD;Anne-Elise COMMUNAL;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SM2x PR3-ID CD 1H/1F;Finale;5.0;33:31.24;Club Nautique de Chambery le Bourget;CLUB NAUTIQUE DE CHAMBERY LE BOURGET;;;;Vincent CAVARD;Anne-Elise COMMUNAL;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MCF8+;FA;1.0;33:31.36;Aviron Majolan;AVIRON MAJOLAN;;;;Odette FRERING;Irene SALONIA;Estelle CLAPISSON;Cecile BECARIE;Audrey GINISTY;Elsa Julie COMPAGNON;Morgane PEGAZ FIORNET;Alexandra PEGAZ-FIORNET;Isabelle PAILLET
2025;MER;Aix-Les Bains;SF1x;FA;10.0;33:31.55;Saint Nazaire Olympique Sportif Aviron;SAINT NAZAIRE OLYMPIQUE SPORTIF AVIRON;;;;Amélie CHAUVIN;;;;;;;;
2024;LONGUE DISTANCE;Mâcon;MEF2x;FB;7.0;33:31.604;Club d'Aviron du Sud Gresivaudan;CLUB D'AVIRON DU SUD GRESIVAUDAN;;;;Veronique JAN;Helene BAYART;;;;;;;
2025;MER;Aix-Les Bains;M40F2x;FA;6.0;33:31.79;Aviron de Mer de Plougonvelin;AVIRON DE MER DE PLOUGONVELIN;;;;Katell BOURHIS;Inge VAN DEN BELD;;;;;;;
2022;MER;Agde;SH1x;FB;5.0;33:32.15;Etoile Nautique de l'Oise;ETOILE NAUTIQUE DE L'OISE;;;;Steven DOISY;;;;;;;;
2023;MER;Brest;SF4x+;FA;11.0;33:32.38;Aviron de Mer de Plougonvelin;AVIRON DE MER DE PLOUGONVELIN;;;;Adele GAMBY;Michele GOURMELON;Céline GUENEUGUES;Marion LORZIL;;;;;Joel CHAMPEAU
2015;MER;Rivedoux - île de Ré - La Rochelle;SH2x;FA;19.0;33:33.02;Societe Nautique de la Baie de Saint-Malo;SOCIETE NAUTIQUE DE LA BAIE DE SAINT MALO;;;;Sébastien ORHANT;Stephane LITTAYE;;;;;;;
2025;LONGUE DISTANCE;Mâcon;MCH4x;FC;16.0;33:33.21;Aviron Bayonnais;AVIRON BAYONNAIS;;;;Gauthier HARISTOY;David SAURAT;Frederic PATHIAS;Herve LUYER-TANET;;;;;
2022;LONGUE DISTANCE;Mâcon;MEM8+ 50%H/F;FA;2.0;33:33.35;Sport Nautique Compiegnois;SPORT NAUTIQUE COMPIEGNOIS;;;;Cecile CALMES;Petra BRISSON;Nicolas TERNOY;Patrick PETITPAS;Dominique PETITPAS;Philippe TROIVAUX;Claude MAYMIL;Vanessa JARRY;Agnes TERNOY
2022;MER;Agde;SH1x;FB;6.0;33:33.39;Societe Nautique de Lagny;SOCIETE NAUTIQUE DE LAGNY;;;;Eric DUPONT;;;;;;;;
2021;MER;Port-Camargue (Grau du Roi);SF4+;FA;2.0;33:33.49;Aviron Setois;AVIRON SETOIS;;;;Sixtine RAYNAUD;Isabelle TRONEL;Manon BRUNELLE;Cynthia LOURADOUR;;;;;Marie NOLAIS
2024;MER;Dunkerque;SH2x HV PR Crit;FA;6.0;33:33.57;Club Herouvillais d'Aviron Riviere et Mer;CLUB HEROUVILLAIS D'AVIRON RIVIERE ET MER;;;;Michael AUBERT;Vincent LION;;;;;;;
2024;MER;Dunkerque;SM2x HV PR3-ID Crit 50%H/50%F;Finale;6.0;33:33.57;Club Herouvillais d'Aviron Riviere et Mer;CLUB HEROUVILLAIS D'AVIRON RIVIERE ET MER;;;;Michael AUBERT;Vincent LION;;;;;;;
2024;MER;Dunkerque;SM4x+ SHt 1H/1F;Finale;6.0;33:33.57;Club Herouvillais d'Aviron Riviere et Mer;CLUB HEROUVILLAIS D'AVIRON RIVIERE ET MER;;;;Michael AUBERT;Vincent LION;;;;;;;
2024;MER;Dunkerque;M40F4x+;Finale;21.0;33:33.62;Societe Nautique de la Ciotat;SOCIETE NAUTIQUE DE LA CIOTAT;;;;Lea PICAT;Sophie GAILLARD;Cristina SIRBE;Elisa BRU;;;;;Emmanuelle PITIOT
2024;MER;Dunkerque;SF4x+;FA;21.0;33:33.62;Societe Nautique de la Ciotat;SOCIETE NAUTIQUE DE LA CIOTAT;;;;Lea PICAT;Sophie GAILLARD;Cristina SIRBE;Elisa BRU;;;;;Emmanuelle PITIOT
2025;LONGUE DISTANCE;Mâcon;MEH4-;FA;3.0;33:33.69;Cercle Nautique de Versailles;CERCLE NAUTIQUE DE VERSAILLES;;;;Thomas MUSYL;Martin PERONNET;Philippe PETIT;Stephane HENNEBERT;;;;;
2024;MER;Dunkerque;M40F1x;FA;2.0;33:33.88;Aviron Seynois;AVIRON SEYNOIS;;;;Edwige ALFRED;;;;;;;;
2024;MER;Dunkerque;SF1x;Finale;2.0;33:33.88;Aviron Seynois;AVIRON SEYNOIS;;;;Edwige ALFRED;;;;;;;;
2023;MER;Brest;M40M2x 50%H/F;FA;16.0;33:34.10;Club Nautique de Pornic;CLUB NAUTIQUE DE PORNIC;;;;Blandine GUILLOUX;Michel QUEROUIL;;;;;;;
2023;MER;Brest;M40F1x;Finale;3.0;33:34.59;Aviron Saint-Cassien;AVIRON SAINT CASSIEN;;;;Aude LANNUZEL;;;;;;;;
2023;MER;Brest;SF1x;FA;3.0;33:34.59;Aviron Saint-Cassien;AVIRON SAINT CASSIEN;;;;Aude LANNUZEL;;;;;;;;
2023;LONGUE DISTANCE;Mâcon;MCH4-;FA;6.0;33:34.67;Universite de Nantes Aviron;UNIVERSITE DE NANTES AVIRON;;;;Stephane DOUDET;Olivier JOUAFFRE;Jeanfrancois DANIEL;Thibaut TINCELIN;;;;;
2025;LONGUE DISTANCE;Mâcon;MCH2x;FB;12.0;33:34.81;Societe Nautique de Chatellerault;SOCIETE NAUTIQUE DE CHATELLERAULT;;;;Laurent BESNAULT;Emeric LASSERE;;;;;;;
2022;LONGUE DISTANCE;Mâcon;MCM4x 50%H/F;FA;4.0;33:35.17;Club d'Aviron du Sud Gresivaudan;CLUB D'AVIRON DU SUD GRESIVAUDAN;;;;Christian RIVIER;Marlene GARNIER;Florence BONNAY;Cedric MOCELLIN;;;;;
2023;MER;Brest;M40H1x;FA;8.0;33:35.17;Ass Nautique des Communes du Pays de Vitre;ASS NAUTIQUE DES COMMUNES DU PAYS DE VITRE;;;;Jean-Christophe LE NY;;;;;;;;
2022;LONGUE DISTANCE;Mâcon;MEM4x 50%H/F;FA;2.0;33:35.22;Aviron Arcachonnais;AVIRON ARCACHONNAIS;;;;Nadine LIMOUZIN;Didier CARUS;Philippe TAUPY;Florence CARREEL;;;;;
2025;LONGUE DISTANCE;Mâcon;U19H4x;FC;15.0;33:35.31;Aviron Club de Manosque;AVIRON CLUB DE MANOSQUE;;;;Paola TORCY OLMEDO;Jacob ZIEMNICKI;Mathis BASTIANELLI;Sasha BERTINMAGHIT;;;;;
2025;LONGUE DISTANCE;Mâcon;SH4x FFSU;FA;1.0;33:35.33;Ecole Polytechnique;ECOLE POLYTECHNIQUE;;;;CéDRIC BODEN;Antoine GILLETTE;Augustin GOSSET;Eloi RICARD;;;;;
2024;MER;Dunkerque;U17F4x+;FA;13.0;33:35.85;Yole Club Brest Iroise;YOLE CLUB BREST IROISE;;;;Amelie GUILLOU;Eloane LIRON-PEAN;Ruby REYNOLDS-BROWN;Lea DUROS;;;;;Morgane LE MOIGNE
2024;MER;Dunkerque;U19F4x+;Finale;13.0;33:35.85;Yole Club Brest Iroise;YOLE CLUB BREST IROISE;;;;Amelie GUILLOU;Eloane LIRON-PEAN;Ruby REYNOLDS-BROWN;Lea DUROS;;;;;Morgane LE MOIGNE
2023;LONGUE DISTANCE;Mâcon;U19F4x;FA;5.0;33:35.91;Aviron Union Nautique de Villefranche;AVIRON UNION NAUTIQUE DE VILLEFRANCHE;;;;Ombeline CHEVALIER;Alizee LAPIERRE;Ninon ROBERT;Chloe CINIER;;;;;
2025;LONGUE DISTANCE;Mâcon;MCH4x;FC;17.0;33:36.96;Sport Nautique de Nancy;SPORT NAUTIQUE DE NANCY;;;;Olivier GILLET;Frank BRUNIER;Jean Philippe NAU;Philippe BOUTON;;;;;
2021;MER;Port-Camargue (Grau du Roi);SH2x;FB;14.0;33:37.32;Aviron Toulonnais;AVIRON TOULONNAIS;;;;Tony PEREZ;Denis PELLICCIA;;;;;;;
2013;MER;Thonon les Bains;SH4+;FA;11.0;33:37.55;Aviron Arcachonnais;AVIRON ARCACHONNAIS;;;;Mickael DINELLI;Damien VILLENAVE;Thibault SEVILLE;Jeremy GARNUNG;;;;;Isabelle CARUS
2014;MER;Arcachon;SH4+;FB;7.0;33:38.03;Asptt Marseille Section Aviron;ASPTT MARSEILLE SECTION AVIRON;;;;Eric VARIN;Didier BESNARD;Didier CALVEZ;Michel PORTRAIT;;;;;Antar HADJHAMOU
2025;MER;Aix-Les Bains;U19M2x 50%H/F;FA;14.0;33:38.13;Aviron Terre de Camargue-le Grau-du-Roi;AVIRON TERRE DE CAMARGUE LE GRAU DU ROI;;;;Gabin VALTER;Lou CLEMENT;;;;;;;
2025;LONGUE DISTANCE;Mâcon;MEH2x;FC;15.0;33:38.26;Club Nautique de Laval;CLUB NAUTIQUE DE LAVAL;;;;David CROCHET;Loic JOURNEAULT;;;;;;;
